"B","observations","genes","abs_batch","k","method","WCSS"
1,10000,5000,10,15,mbkmeans,568468396.539681
2,10000,5000,10,15,mbkmeans,356885833.722224
3,10000,5000,10,15,mbkmeans,688708504.0625
4,10000,5000,10,15,mbkmeans,445784969.285717
5,10000,5000,10,15,mbkmeans,450588077.5
6,10000,5000,10,15,mbkmeans,434590838.673473
7,10000,5000,10,15,mbkmeans,435300798.333333
8,10000,5000,10,15,mbkmeans,399187817.766668
9,10000,5000,10,15,mbkmeans,661172362.380003
10,10000,5000,10,15,mbkmeans,320758326.000004
11,10000,5000,10,15,mbkmeans,414752864.872453
12,10000,5000,10,15,mbkmeans,1628447296.0625
13,10000,5000,10,15,mbkmeans,452199476.450002
14,10000,5000,10,15,mbkmeans,431310187.640005
15,10000,5000,10,15,mbkmeans,425367692.4375
16,10000,5000,10,15,mbkmeans,410302192.76531
17,10000,5000,10,15,mbkmeans,534709487.183677
18,10000,5000,10,15,mbkmeans,491761128.777778
19,10000,5000,10,15,mbkmeans,346808536.390006
20,10000,5000,10,15,mbkmeans,359966050.375
21,10000,5000,10,15,mbkmeans,545312826.5
22,10000,5000,10,15,mbkmeans,715403813.625
23,10000,5000,10,15,mbkmeans,458079606.960005
24,10000,5000,10,15,mbkmeans,400079569.5
25,10000,5000,10,15,mbkmeans,454656488.111113
26,10000,5000,10,15,mbkmeans,411231233.520002
27,10000,5000,10,15,mbkmeans,651507920.556127
28,10000,5000,10,15,mbkmeans,607771997.820009
29,10000,5000,10,15,mbkmeans,672772969.844136
30,10000,5000,10,15,mbkmeans,420139763.875
31,10000,5000,10,15,mbkmeans,396806631.790007
32,10000,5000,10,15,mbkmeans,586105870.888887
33,10000,5000,10,15,mbkmeans,577232896.521545
34,10000,5000,10,15,mbkmeans,646715184.882649
35,10000,5000,10,15,mbkmeans,657893123.600003
36,10000,5000,10,15,mbkmeans,456546256
37,10000,5000,10,15,mbkmeans,483402966.5
38,10000,5000,10,15,mbkmeans,361690186.050002
39,10000,5000,10,15,mbkmeans,635802862.666667
40,10000,5000,10,15,mbkmeans,642269397.8125
41,10000,5000,10,15,mbkmeans,629255121.890625
42,10000,5000,10,15,mbkmeans,472551648.220004
43,10000,5000,10,15,mbkmeans,383737431.666668
44,10000,5000,10,15,mbkmeans,417725770.222221
45,10000,5000,10,15,mbkmeans,524213346.645833
46,10000,5000,10,15,mbkmeans,626521645.469393
47,10000,5000,10,15,mbkmeans,481915418.750002
48,10000,5000,10,15,mbkmeans,622503360.413269
49,10000,5000,10,15,mbkmeans,638133045.908755
50,10000,5000,10,15,mbkmeans,419463920.333333
