"B","observations","genes","batch_size","k","initializer","method","user_time","system_time","elapsed_time"
1,1e+05,1000,0.01,2,random,kmeans,250.289,8.852,283.116,10,1
2,1e+05,1000,0.01,2,random,kmeans,187.758,10.217,229.696,10,1
3,1e+05,1000,0.01,2,random,kmeans,181.076,10.679,204.346,10,1
4,1e+05,1000,0.01,2,random,kmeans,220.127,10.407,240.683,10,1
5,1e+05,1000,0.01,2,random,kmeans,193.348,9.558,228.658,10,1
6,1e+05,1000,0.01,2,random,kmeans,195.19,11.099,222.933,10,1
7,1e+05,1000,0.01,2,random,kmeans,187.872,10.211,224.527,10,1
8,1e+05,1000,0.01,2,random,kmeans,185.157,10.247,202.238,10,1
9,1e+05,1000,0.01,2,random,kmeans,197.829,8.894,230.268,10,1
10,1e+05,1000,0.01,2,random,kmeans,197.021,10.446,213.898,10,1
1,1e+05,1000,0.01,3,random,kmeans,214.548,9.573,247.174,10,1
2,1e+05,1000,0.01,3,random,kmeans,205.449,9.206,246.782,10,1
3,1e+05,1000,0.01,3,random,kmeans,191.267,10.183,220.604,10,1
4,1e+05,1000,0.01,3,random,kmeans,186.076,10.329,219.254,10,1
5,1e+05,1000,0.01,3,random,kmeans,168.001,9.312,191.42,10,1
6,1e+05,1000,0.01,3,random,kmeans,205.637,10.962,236.239,10,1
7,1e+05,1000,0.01,3,random,kmeans,214.565,9.253,239.41,10,1
8,1e+05,1000,0.01,3,random,kmeans,192.969,10.363,225.8,10,1
9,1e+05,1000,0.01,3,random,kmeans,197.903,10.761,237.106,10,1
10,1e+05,1000,0.01,3,random,kmeans,209.672,10.22,243.721,10,1
1,1e+05,1000,0.01,4,random,kmeans,261.684,9.065,308.536,10,1
2,1e+05,1000,0.01,4,random,kmeans,215.808,8.676,247.407,10,1
3,1e+05,1000,0.01,4,random,kmeans,248.576,9.922,293.026,10,1
4,1e+05,1000,0.01,4,random,kmeans,197.513,9.507,223.289,10,1
5,1e+05,1000,0.01,4,random,kmeans,197.841,9.238,240.782,10,1
6,1e+05,1000,0.01,4,random,kmeans,234.878,9.245,271.048,10,1
7,1e+05,1000,0.01,4,random,kmeans,220.538,9.985,265.893,10,1
8,1e+05,1000,0.01,4,random,kmeans,253.553,9.396,298.077,10,1
9,1e+05,1000,0.01,4,random,kmeans,244.469,9.593,279.114,10,1
10,1e+05,1000,0.01,4,random,kmeans,239.345,9.188,279.448,10,1
1,1e+05,1000,0.01,5,random,kmeans,260.968,9.214,308.187,10,1
2,1e+05,1000,0.01,5,random,kmeans,247.816,9.626,284.24,10,1
3,1e+05,1000,0.01,5,random,kmeans,226.302,10.635,256.594,10,1
4,1e+05,1000,0.01,5,random,kmeans,227.857,9.676,258.249,10,1
5,1e+05,1000,0.01,5,random,kmeans,233.788,10.928,262.652,10,1
6,1e+05,1000,0.01,5,random,kmeans,258.371,9.565,300.414,10,1
7,1e+05,1000,0.01,5,random,kmeans,257.181,8.753,286.731,10,1
8,1e+05,1000,0.01,5,random,kmeans,253.05,8.993,293.587,10,1
9,1e+05,1000,0.01,5,random,kmeans,255.546,9.575,295.621,10,1
10,1e+05,1000,0.01,5,random,kmeans,255.823,9.602,289.863,10,1
1,1e+05,1000,0.01,6,random,kmeans,256.014,10.277,286.792,10,1
2,1e+05,1000,0.01,6,random,kmeans,186.214,8.405,216.186,10,1
3,1e+05,1000,0.01,6,random,kmeans,216.805,9.953,248.828,10,1
